 ,Area,Perim.,Circ.,AR,Round,Solidity
372,294,64.870,0.878,1.205,0.830,0.939
373,483,83.012,0.881,1.156,0.865,0.945
374,282,74.284,0.642,1.736,0.576,0.832
375,243,61.598,0.805,1.341,0.746,0.892
376,403,76.426,0.867,1.056,0.947,0.920
377,323,65.598,0.943,1.081,0.925,0.944
378,509,83.598,0.915,1.109,0.902,0.955
379,215,64.184,0.656,1.653,0.605,0.843
380,419,77.841,0.869,1.155,0.866,0.916
381,175,53.456,0.770,1.932,0.517,0.900
382,290,64.870,0.866,1.032,0.969,0.925
383,623,93.841,0.889,1.081,0.925,0.948
384,186,50.870,0.903,1.138,0.879,0.930
385,237,56.284,0.940,1.230,0.813,0.950
386,245,63.113,0.773,1.263,0.791,0.891
387,440,77.255,0.926,1.170,0.855,0.952
388,571,90.083,0.884,1.254,0.797,0.942
389,265,64.284,0.806,1.444,0.693,0.919
390,414,77.841,0.859,1.388,0.721,0.930
391,604,91.154,0.913,1.013,0.987,0.947
392,294,68.870,0.779,1.273,0.785,0.909
393,319,79.841,0.629,1.519,0.658,0.803
394,159,52.527,0.724,1.772,0.564,0.881
395,224,57.698,0.846,1.337,0.748,0.909
396,452,94.912,0.631,1.443,0.693,0.853
397,341,69.113,0.897,1.012,0.988,0.962
398,163,46.627,0.942,1.037,0.964,0.942
399,217,65.355,0.638,2.241,0.446,0.839
400,231,63.698,0.715,1.195,0.837,0.848
401,174,48.042,0.947,1.139,0.878,0.938
402,490,83.113,0.891,1.061,0.942,0.959
403,162,48.627,0.861,1.376,0.727,0.920
404,178,55.355,0.730,1.485,0.674,0.838
405,323,67.941,0.879,1.169,0.855,0.939
406,178,48.870,0.937,1.211,0.826,0.934
407,229,60.627,0.783,1.759,0.569,0.929
408,220,61.113,0.740,1.309,0.764,0.878
409,215,54.870,0.897,1.293,0.774,0.935
410,151,44.870,0.942,1.033,0.968,0.924
411,159,47.213,0.896,1.211,0.826,0.930
412,155,46.385,0.905,1.416,0.706,0.957
413,183,49.698,0.931,1.077,0.929,0.929
414,262,65.012,0.779,1.608,0.622,0.888
415,219,55.698,0.887,1.073,0.932,0.934
416,260,65.841,0.754,1.434,0.697,0.880
417,253,61.113,0.851,1.724,0.580,0.946
418,292,62.770,0.931,1.057,0.946,0.945
419,312,70.426,0.790,1.238,0.808,0.875
420,353,75.012,0.788,1.099,0.910,0.887
421,318,67.598,0.875,1.119,0.894,0.927
422,181,53.355,0.799,1.640,0.610,0.883
423,216,59.941,0.755,1.491,0.671,0.900
424,206,52.284,0.947,1.183,0.846,0.938
425,172,49.213,0.892,1.275,0.784,0.925
426,224,61.355,0.748,2.101,0.476,0.916
427,177,53.113,0.788,1.736,0.576,0.903
428,343,76.770,0.731,1.402,0.713,0.879
429,266,71.012,0.663,1.198,0.835,0.834
430,184,55.113,0.761,1.254,0.797,0.893
431,166,48.284,0.895,1.172,0.853,0.910
432,162,49.213,0.841,1.340,0.747,0.915
433,189,54.627,0.796,1.776,0.563,0.926
